id,raw_name,normalized_name,source,receipt_id,suggested_chain_id,suggested_location_id,confidence_score,status,created_at,full_address,address1,address2,city,state,country,zipcode,phone,currency,purchase_date,purchase_time
4c8d878d-23f8-4039-a023-477606a9688d,TRADER,trader,llm,,,,,pending,2026-01-30T06:00:01.347012+00:00,,,,,,,,,,,
929c919b-a5a4-4443-9cae-caa6261df27b,TRADER,trader,llm,,,,,pending,2026-01-30T06:00:18.427461+00:00,,,,,,,,,,,
49c1652d-444c-4780-8c1a-668b96f10b31,TRADER,trader,llm,,,,,pending,2026-01-30T06:09:39.528929+00:00,,,,,,,,,,,
0a06cee9-8a62-465e-98e8-571e1b4277e9,T&T Supermarket,t&t supermarket,llm,,,,,pending,2026-01-30T07:27:13.442027+00:00,,,,,,,,,,,
6e3c97ec-c812-4180-b704-601df663b11a,T&T Supermarket,t&t supermarket,llm,,,,,pending,2026-01-30T07:36:27.363976+00:00,,,,,,,,,,,
51074127-7932-4c1c-8c8c-7196e7d28376,T&T Supermarket,t&t supermarket,llm,,,,,pending,2026-01-30T07:40:24.014005+00:00,,,,,,,,,,,
d7d0368d-b181-42f9-a5e6-434a71a74e7b,T&T Supermarket,t&t supermarket,llm,,,,,pending,2026-01-30T07:41:42.789451+00:00,,,,,,,,,,,
e4006dd7-f132-43cd-ab3b-3c6aa5a897cd,99 Ranch Market,99 ranch market,llm,,,,,pending,2026-01-30T18:47:40.969558+00:00,,,,,,,,,,,
e3748660-a9ee-460a-bebc-c68e046f2012,T&T Supermarket Lynnwood,t&t supermarket lynnwood,llm,1847c342-cabb-4275-a443-169181bb55a8,,,,pending,2026-01-30T19:43:56.616497+00:00,"19630 Hwy 99
Lynnwood, WA 98036
USA",19630 Hwy 99,,Lynnwood,WA,USA,98036,(425) 648-2648,USD,2026-01-10,13:45:58
07023853-f954-4393-8792-7e5fdce9c68d,T&T Supermarket US,t&t supermarket us,llm,08db7d85-0167-49d1-a55b-eceac839a1b9,,,,pending,2026-01-30T19:44:16.22842+00:00,"19630 Hwy 99
Lynnwood, WA 98036",19630 Hwy 99,,Lynnwood,WA,USA,98036,(425) 648-2648,USD,2026-01-02,13:53:29
